year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats
2007,175000,0,0,0,1,18.7,1896.0,66.0,5.0
2017,60000,0,0,0,0,21.38,1396.0,88.7,5.0
2017,60000,0,1,1,0,0.0,1950.0,194.0,5.0
2006,30000,1,0,0,1,19.7,796.0,46.3,5.0
2017,76000,0,1,0,0,25.47,1248.0,88.5,7.0
2017,113000,0,0,0,0,25.83,1498.0,99.0,5.0
2011,120000,0,0,0,1,12.8,2494.0,102.0,8.0
2014,79000,0,0,0,1,20.6,1968.0,141.0,5.0
2016,50000,1,0,0,0,20.51,998.0,67.04,5.0
2010,120000,0,0,0,1,19.3,1248.0,73.9,5.0
2018,30000,1,0,0,0,17.0,1198.0,108.5,5.0
2015,25000,1,0,0,0,22.74,796.0,47.3,5.0
2003,200000,0,0,0,1,13.1,1493.0,82.0,5.0
2019,4875,1,1,0,0,21.63,998.0,67.04,5.0
2017,48698,0,1,0,0,19.67,1582.0,126.2,5.0
2009,120000,0,0,0,1,17.88,1396.0,52.8,5.0
2017,60000,0,0,0,0,18.49,1493.0,100.0,7.0
2015,40200,0,1,0,0,21.0,1498.0,74.96,7.0
2018,30000,0,0,0,0,23.0,1498.0,98.96,5.0
2015,70000,1,0,0,0,17.57,1193.0,88.7,5.0
2012,120000,0,0,0,0,15.96,2523.0,62.1,7.0
2017,80000,0,0,0,0,15.4,2179.0,120.0,7.0
2019,40000,1,0,0,0,21.21,1197.0,81.8,5.0
2012,52000,0,0,0,2,19.3,1248.0,73.9,5.0
2005,90000,1,0,0,1,19.7,796.0,46.3,5.0
2017,50000,0,0,0,0,24.3,1248.0,88.5,5.0
2015,50000,1,0,0,1,23.95,998.0,67.05,5.0
2016,80000,1,0,0,0,20.51,998.0,67.04,5.0
2017,90000,1,0,0,0,17.8,1199.0,76.8,5.0
2017,32000,1,0,0,1,23.95,998.0,67.05,5.0
2011,60000,1,0,0,0,18.9,998.0,67.1,5.0
2007,70000,1,0,0,2,15.0,1086.0,66.6,5.0
2015,197000,0,0,0,0,13.58,2499.0,72.4,10.0
2009,120000,0,0,0,1,19.3,1248.0,73.9,5.0
2011,150000,0,0,0,3,13.5,2179.0,115.0,5.0
2015,40000,0,0,0,2,28.09,1248.0,88.5,5.0
2015,72000,0,0,0,0,26.59,1248.0,74.0,5.0
2019,25000,0,1,0,0,16.3,1956.0,170.63,5.0
2020,6000,1,0,0,0,23.95,998.0,67.05,5.0
2007,80000,0,0,0,2,17.2,1396.0,53.5,5.0
2013,120000,0,0,0,2,20.77,1248.0,88.8,7.0
2013,50000,0,0,0,0,25.8,1498.0,98.6,5.0
2009,60000,1,0,0,1,18.9,1061.0,67.0,5.0
2012,110000,0,0,0,0,19.3,1248.0,73.9,5.0
2015,120000,0,0,0,0,13.58,2499.0,72.4,10.0
2015,25000,0,0,0,0,27.62,793.0,47.0,5.0
2012,100000,0,0,0,1,21.8,1461.0,78.0,5.0
2009,100000,1,0,0,1,14.53,1798.0,138.1,5.0
2010,120000,0,0,0,1,19.3,1248.0,73.9,5.0
2017,58000,0,1,1,0,17.6,2179.0,153.86,7.0
2006,70000,1,0,0,1,16.9,1497.0,100.0,5.0
2018,70000,1,0,0,0,17.0,1198.0,108.5,5.0
2008,80000,0,0,0,0,12.2,1948.0,68.0,10.0
2018,5000,1,0,0,0,22.0,1197.0,81.8,5.0
2004,110000,1,0,0,1,14.4,1599.0,94.0,5.0
2019,25000,0,0,0,0,28.4,1248.0,74.02,5.0
2016,35000,1,0,0,1,20.85,1197.0,83.14,5.0
2016,60000,0,0,0,0,21.9,1498.0,98.6,7.0
2009,40000,1,0,1,2,12.9,1799.0,130.0,5.0
2013,73000,0,0,0,0,12.99,2494.0,100.0,8.0
2013,50000,0,0,0,0,23.5,1396.0,88.7,5.0
2018,52200,0,1,0,0,26.59,1248.0,74.0,5.0
2017,30000,0,0,0,0,25.2,1248.0,74.0,5.0
2013,100000,0,0,0,1,12.99,2494.0,100.57,7.0
1999,70000,1,0,0,3,15.9,1298.0,85.0,5.0
2016,100000,0,0,0,0,19.09,1405.0,69.01,5.0
2017,70000,0,0,0,0,24.3,1248.0,88.5,5.0
2015,100000,0,0,0,0,20.77,1248.0,88.76,7.0
2017,51777,0,1,0,0,24.3,1248.0,88.5,5.0
2017,35000,0,0,0,0,23.9,1582.0,126.2,5.0
2015,50000,1,0,0,0,21.1,814.0,55.2,5.0
2014,30528,1,1,0,0,18.6,1197.0,81.86,5.0
2011,40000,1,0,0,1,20.92,998.0,67.1,5.0
2017,130000,1,0,0,1,19.0,1197.0,85.8,5.0
2018,35000,1,0,0,1,23.84,1199.0,84.0,5.0
2013,64788,0,1,1,0,0.0,2179.0,115.0,5.0
2015,94385,0,1,0,0,12.99,2494.0,100.6,8.0
2005,39000,1,0,0,0,19.7,796.0,46.3,5.0
2010,130000,0,0,0,2,17.8,1248.0,75.0,5.0
2015,136000,0,0,0,0,19.01,1461.0,108.45,5.0
2013,80000,0,0,0,0,23.4,1248.0,74.0,5.0
2018,6200,1,0,0,0,19.34,1462.0,103.0,7.0
2014,230000,0,0,1,0,15.73,1968.0,174.33,5.0
2018,11000,1,0,0,0,15.8,1591.0,121.3,5.0
2011,145000,0,0,0,0,20.86,1199.0,75.0,5.0
2016,90000,1,0,0,0,20.4,1197.0,81.8,5.0
2014,40000,1,0,0,0,16.8,796.0,34.2,5.0
2018,35000,0,0,0,0,13.68,2393.0,147.8,7.0
2018,46000,0,0,0,0,19.67,1582.0,126.2,5.0
2016,30000,1,0,0,0,22.74,796.0,47.3,5.0
2015,60000,0,0,0,0,27.3,1498.0,98.6,5.0
2018,20000,1,0,0,0,18.6,1197.0,81.83,5.0
2008,120000,0,0,0,1,19.09,1396.0,69.0,5.0
2011,100000,2,0,0,1,13.45,1086.0,62.1,5.0
2013,140000,0,0,1,1,18.88,1995.0,184.0,5.0
2009,55500,1,1,0,0,18.2,998.0,67.1,5.0
2004,160000,0,0,0,2,13.1,1493.0,82.0,5.0
2013,67000,1,0,0,0,19.1,1197.0,85.8,5.0
2013,110000,0,0,0,0,20.0,1399.0,68.1,5.0
2015,110000,0,0,0,0,16.0,2179.0,140.0,7.0
2012,90000,0,0,0,0,20.54,1598.0,103.6,5.0
2015,50000,1,0,0,1,20.51,998.0,67.04,5.0
2016,70000,0,0,0,0,24.3,1248.0,88.5,5.0
2018,10000,0,0,1,0,11.36,2755.0,171.5,7.0
2017,15780,1,0,0,0,17.8,1198.0,86.7,5.0
2016,100600,0,0,0,1,13.68,2393.0,147.8,8.0
2007,90000,1,0,0,1,19.7,796.0,46.3,5.0
2006,70000,1,0,0,1,15.9,1298.0,85.0,5.0
2012,120000,0,0,0,1,12.8,2494.0,102.0,8.0
2014,120000,0,0,0,1,19.1,1405.0,70.0,5.0
2014,46000,1,0,0,1,19.1,1197.0,81.86,5.0
2007,60000,1,0,0,1,18.2,1061.0,64.0,5.0
2017,40000,1,0,0,0,20.89,1197.0,81.8,5.0
2014,60000,0,0,1,0,17.68,1968.0,174.33,5.0
2015,80000,0,0,0,1,24.0,1120.0,70.0,5.0
2011,40000,1,0,0,2,19.0,998.0,67.1,5.0
2016,20000,1,0,0,0,17.01,1591.0,121.4,5.0
2015,40000,1,0,0,0,13.24,1598.0,102.5,5.0
2020,16000,0,1,0,0,17.0,1956.0,167.67,5.0
2012,93000,0,0,0,0,20.77,1248.0,88.76,7.0
2017,65000,1,1,0,0,19.02,1198.0,67.05,7.0
2013,49500,1,0,0,1,21.1,814.0,55.2,5.0
2016,42000,0,0,0,1,19.09,1405.0,69.01,5.0
2015,135000,0,0,0,0,22.77,1498.0,98.59,5.0
2016,100000,1,0,0,0,18.15,1198.0,82.0,5.0
2013,120000,1,0,0,0,19.1,1197.0,85.8,5.0
2013,90000,0,0,0,1,19.4,1405.0,70.0,5.0
2019,8500,0,1,1,0,16.78,1995.0,190.0,5.0
2014,40000,1,0,0,2,19.4,1198.0,86.8,5.0
2012,80000,0,0,0,1,20.5,1598.0,103.5,5.0
2015,80000,0,0,0,1,19.09,1405.0,69.01,5.0
2015,39000,1,1,0,0,17.4,1497.0,117.3,5.0
2012,35000,1,0,0,0,17.0,1197.0,80.0,5.0
2015,59292,0,1,0,0,28.4,1248.0,74.0,5.0
2014,100000,0,0,0,0,24.0,1120.0,70.0,5.0
2012,80000,0,0,0,2,23.2,1248.0,73.94,5.0
2017,71000,0,0,0,0,27.39,1248.0,74.0,5.0
2012,67998,1,1,0,0,18.9,998.0,67.1,5.0
2013,76000,0,0,0,1,22.9,1248.0,74.0,5.0
2008,100000,0,0,0,2,12.05,2179.0,120.0,7.0
2018,70000,0,0,0,0,13.68,2393.0,147.8,7.0
2014,60000,0,0,0,0,22.32,1582.0,126.32,5.0
2009,80000,1,0,0,1,20.36,1197.0,78.9,5.0
2011,50000,0,0,0,0,18.5,1399.0,68.0,5.0
2018,50000,3,0,0,0,26.6,998.0,58.16,5.0
2019,35000,3,0,0,0,26.6,998.0,58.16,5.0
2019,5000,1,0,1,0,21.7,998.0,67.0,5.0
2014,46100,1,1,0,0,16.02,1373.0,93.7,7.0
2017,49000,0,1,0,0,25.4,1186.0,73.97,5.0
2010,70000,1,0,0,1,18.9,1061.0,67.0,5.0
2019,11533,1,2,0,0,14.23,1498.0,104.55,5.0
2012,120000,0,0,0,0,13.93,2179.0,138.03,7.0
2014,70000,1,0,0,1,18.6,1197.0,81.83,5.0
2016,35000,1,0,0,0,17.0,1198.0,73.75,5.0
2014,31000,0,0,0,0,23.59,1364.0,67.06,5.0
2009,125876,1,0,0,1,15.0,1586.0,104.68,5.0
2018,32000,1,0,0,0,18.9,1197.0,81.86,5.0
2012,70000,1,0,0,0,19.7,796.0,46.3,5.0
2011,70000,0,0,0,1,25.44,936.0,57.6,5.0
2007,75958,0,0,0,1,17.88,1396.0,52.8,5.0
2018,25000,1,0,0,0,25.17,799.0,53.3,5.0
2016,46000,0,1,1,0,18.25,1968.0,187.74,5.0
2012,156060,0,0,0,0,23.2,1248.0,73.94,5.0
2016,60000,1,0,1,0,16.9,1197.0,82.0,5.0
2006,120000,1,0,0,1,17.3,993.0,60.0,5.0
2011,108000,0,1,0,0,16.0,2179.0,140.0,7.0
2015,50000,1,0,0,0,19.81,1086.0,68.05,5.0
2012,1500000,0,0,0,0,15.1,2179.0,140.0,7.0
2014,64000,0,0,0,1,20.77,1248.0,88.8,7.0
2016,47552,0,0,0,1,19.67,1582.0,126.2,5.0
2018,29000,0,0,0,0,15.1,2179.0,152.87,7.0
2016,33500,0,0,0,0,23.65,1248.0,88.5,5.0
2016,30000,1,0,0,1,22.74,796.0,47.3,5.0
2010,20000,1,0,0,0,19.7,796.0,46.3,5.0
2012,125000,0,0,0,1,21.43,1364.0,87.2,5.0
2017,25000,1,0,0,0,22.7,799.0,53.64,5.0
2015,35000,1,0,0,1,22.74,796.0,47.3,5.0
2016,78010,0,1,1,0,21.66,1498.0,103.52,5.0
2008,112000,0,0,0,0,10.5,2609.0,120.0,9.0
2014,10000,1,0,0,0,18.6,1197.0,81.83,5.0
2016,60000,0,0,0,0,23.9,1582.0,126.2,5.0
2008,175802,0,0,0,2,19.3,1248.0,73.9,5.0
2015,100000,0,0,0,0,22.54,1396.0,88.73,5.0
2014,70000,1,0,0,1,18.6,1197.0,81.83,5.0
2012,30000,1,0,0,0,22.74,796.0,47.3,5.0
2012,120000,0,0,0,0,19.3,1248.0,73.9,5.0
2013,56429,0,1,0,1,19.01,1461.0,108.45,5.0
2015,25000,0,0,0,0,25.8,1498.0,98.6,5.0
2015,60000,1,0,0,0,18.6,1197.0,81.83,5.0
1998,110000,1,0,0,2,13.1,1598.0,77.0,5.0
2018,42000,1,0,1,0,18.6,1368.0,98.63,5.0
2018,55000,0,1,0,0,18.49,1493.0,100.0,7.0
2011,200000,0,0,0,0,20.5,1248.0,91.7,5.0
2016,50000,0,0,0,0,15.4,1997.0,120.0,7.0
2011,120000,0,0,0,2,23.0,1396.0,90.0,5.0
2010,80000,0,0,0,0,21.12,1248.0,88.8,5.0
2012,86000,0,0,0,0,19.01,1461.0,108.45,5.0
2013,50000,0,1,1,0,18.53,1968.0,187.74,5.0
2018,35500,0,0,0,0,28.4,1248.0,74.02,5.0
2007,110000,0,0,0,1,10.5,2179.0,120.0,7.0
2016,74000,1,1,1,0,13.7,1997.0,153.86,5.0
2007,129000,0,0,0,2,17.0,1405.0,70.0,5.0
2017,15000,1,0,0,0,18.16,1196.0,86.8,5.0
2014,70000,1,0,0,1,19.1,1197.0,85.8,5.0
2016,51500,1,0,0,0,25.17,799.0,53.3,5.0
2014,100000,1,0,0,0,23.95,998.0,67.05,5.0
2012,330000,1,0,0,1,13.44,2359.0,198.25,5.0
2015,126000,0,0,0,2,21.43,1364.0,87.2,5.0
2012,90000,0,0,0,0,25.44,936.0,57.6,5.0
2015,140000,0,0,0,1,26.59,1248.0,74.0,5.0
2010,120000,0,0,0,0,14.0,2498.0,112.0,7.0
2012,150000,0,0,0,1,20.54,1598.0,103.6,5.0
2014,90000,0,0,0,0,25.0,1396.0,69.0,5.0
2019,5000,1,0,0,0,20.0,999.0,72.0,7.0
2009,85000,0,0,0,2,21.1,1248.0,73.9,5.0
2016,81000,0,1,0,1,28.09,1248.0,88.5,5.0
2016,55000,1,1,0,0,20.52,1197.0,81.8,5.0
2018,80000,0,0,0,0,25.4,1186.0,73.97,5.0
2011,70000,2,0,0,0,13.45,1086.0,62.1,5.0
2019,10000,1,0,0,0,23.95,998.0,67.05,5.0
2007,120000,1,0,0,1,17.8,1086.0,63.0,5.0
2011,120000,0,0,0,1,19.3,1248.0,73.9,5.0
2013,47200,1,0,0,2,16.1,796.0,37.0,4.0
2018,25000,0,0,0,0,24.3,1248.0,88.5,5.0
2017,40000,1,0,0,0,23.95,998.0,67.1,5.0
2016,120000,1,0,0,1,17.19,1197.0,81.86,5.0
2017,100000,0,0,0,0,16.5,1493.0,70.0,7.0
2017,88754,0,1,0,0,16.0,2179.0,140.0,7.0
2018,25000,1,0,1,0,17.8,1496.0,105.5,5.0
2015,60000,0,0,0,0,26.59,1248.0,74.0,5.0
2006,44000,1,0,0,0,19.7,796.0,46.3,5.0
2017,100000,0,0,0,1,16.5,1493.0,70.0,7.0
2017,21500,1,0,1,0,19.34,1198.0,76.0,5.0
2015,70000,1,0,0,2,23.1,998.0,67.04,5.0
2015,70000,0,0,0,0,19.01,1461.0,108.5,5.0
2016,58000,1,0,0,1,15.37,1196.0,73.0,7.0
2016,30000,0,0,1,0,11.36,2755.0,171.5,7.0
2015,50000,0,0,0,1,21.19,1396.0,88.73,5.0
2013,40000,0,0,0,0,23.4,1248.0,74.0,5.0
2015,63063,1,1,1,0,18.9,1197.0,82.0,5.0
2011,15000,1,0,0,0,17.5,1298.0,85.8,5.0
2011,120000,0,0,0,0,19.4,1405.0,70.0,5.0
2014,80000,0,0,0,1,19.09,1405.0,69.01,5.0
2012,100000,1,0,0,1,18.5,1197.0,85.8,5.0
2014,120000,1,0,0,1,22.74,796.0,47.3,5.0
2011,120000,0,0,0,1,13.6,2523.0,63.0,7.0
2019,32000,0,0,0,0,15.1,2179.0,155.0,7.0
2015,60000,0,0,0,1,24.4,1120.0,71.0,5.0
2007,120000,0,0,0,3,16.8,1493.0,110.0,5.0
2012,50000,0,0,1,1,12.12,2231.0,184.0,7.0
2009,137000,0,0,0,1,17.0,1405.0,70.0,5.0
2018,14495,1,1,0,0,18.78,999.0,75.0,5.0
2019,25000,0,0,0,0,28.4,1248.0,74.02,5.0
2013,120000,0,0,0,0,12.05,2179.0,120.0,9.0
2012,68240,0,1,0,0,13.93,2956.0,138.1,7.0
2012,45000,1,1,0,0,18.5,1198.0,86.8,5.0
2015,108000,0,0,0,0,21.19,1396.0,88.73,5.0
2019,9000,1,1,1,0,21.63,998.0,67.04,5.0
2014,33400,1,0,0,0,17.43,1396.0,105.5,5.0
2019,10000,1,0,0,0,23.84,1199.0,84.0,5.0
2015,80000,0,0,0,0,20.77,1248.0,88.8,7.0
2012,90000,0,0,0,1,20.46,1461.0,83.8,5.0
2009,50000,1,0,0,1,16.0,995.0,63.0,5.0
2017,23000,1,0,0,0,21.4,1197.0,83.1,5.0
2008,110000,1,0,0,1,17.7,1497.0,78.0,5.0
2013,60000,0,0,1,0,16.36,2179.0,187.7,5.0
2012,120000,0,0,0,0,22.54,1396.0,88.73,5.0
2015,85000,2,0,0,0,13.45,1086.0,62.1,5.0
2006,270000,0,0,0,2,12.8,2494.0,102.0,8.0
2011,120000,0,0,0,0,13.93,2179.0,138.03,7.0
2015,170000,0,0,0,0,26.59,1248.0,74.0,5.0
2012,30000,1,0,0,0,17.5,1197.0,85.8,5.0
2013,96000,0,0,0,0,20.46,1461.0,83.8,5.0
2015,40000,0,0,0,0,12.99,2494.0,100.6,7.0
2010,58544,1,1,0,1,17.4,1497.0,117.3,5.0
2013,52380,0,1,0,0,23.59,1364.0,67.04,5.0
2017,47000,0,1,1,0,13.5,2987.0,282.0,5.0
2012,60000,0,0,0,0,19.3,1248.0,73.9,5.0
1996,32000,1,0,0,1,16.1,796.0,37.0,4.0
2012,110000,0,0,0,1,15.96,2523.0,62.1,7.0
2014,80000,0,1,0,0,12.99,2494.0,100.6,7.0
2018,25000,1,0,0,1,18.9,1197.0,81.86,5.0
2012,100000,0,0,0,1,22.32,1582.0,126.32,5.0
2013,144000,0,0,0,0,21.9,1396.0,88.8,5.0
2018,77800,0,0,0,0,25.1,1248.0,88.5,5.0
2017,52289,0,1,0,0,25.1,1248.0,88.5,5.0
2017,60000,1,0,0,0,20.3,998.0,68.05,5.0
2004,46000,1,0,0,3,16.1,796.0,37.0,4.0
2016,112000,0,1,0,1,15.4,1997.0,120.0,7.0
2017,60000,0,0,0,0,28.4,1248.0,74.02,5.0
2013,70000,0,0,0,1,19.68,1399.0,67.0,5.0
2018,46000,0,1,0,0,15.8,2148.0,170.0,5.0
2009,150000,0,0,0,0,13.93,2179.0,138.0,7.0
2015,170000,0,0,0,0,12.99,2494.0,100.6,7.0
2011,91863,0,0,0,1,15.96,2523.0,62.1,7.0
2016,25000,1,0,0,0,22.74,796.0,47.3,5.0
2015,35000,0,0,0,0,23.0,1248.0,88.7,5.0
2013,86000,0,0,0,1,22.9,1248.0,74.0,5.0
2014,60000,0,0,0,0,15.96,2523.0,62.1,7.0
2012,60000,0,0,0,0,20.0,1399.0,68.0,5.0
2011,35000,1,0,0,0,17.0,1497.0,118.0,5.0
2017,80000,0,0,0,0,24.3,1248.0,88.5,5.0
2019,5000,0,0,0,0,17.3,1497.0,121.0,7.0
2013,53000,0,0,0,0,22.9,1248.0,74.0,5.0
2011,90000,0,0,0,2,23.0,1396.0,90.0,5.0
2011,67840,1,0,0,0,18.0,995.0,62.0,5.0
2018,25000,0,0,0,0,25.4,1186.0,73.97,5.0
2017,68140,1,1,1,0,18.0,1497.0,117.6,5.0
2014,200000,0,0,0,0,15.96,2523.0,62.1,9.0
2013,50000,0,0,0,0,21.02,1248.0,88.8,5.0
2015,60000,0,0,0,0,25.1,1498.0,98.6,5.0
2011,100000,0,0,0,0,19.5,1199.0,75.0,5.0
2012,110000,0,0,0,1,19.3,1248.0,73.9,5.0
2013,150000,0,0,0,1,22.32,1582.0,126.32,5.0
2017,120000,0,0,0,0,19.87,1461.0,83.8,5.0
2018,55000,1,0,1,0,14.8,1591.0,121.3,5.0
2016,120000,0,0,0,0,22.95,1248.0,74.0,5.0
2013,70000,1,0,0,1,15.85,1499.0,110.4,5.0
2006,70000,1,0,0,1,16.1,796.0,37.0,4.0
2010,86017,0,1,0,1,25.5,1498.0,99.23,5.0
2018,13000,1,1,0,0,20.71,799.0,53.26,5.0
2002,70000,1,0,0,1,16.1,796.0,37.0,4.0
2017,35000,0,0,0,2,22.0,1582.0,126.2,5.0
2014,80000,0,0,0,1,23.2,1248.0,73.94,5.0
2015,110000,0,0,0,0,26.59,1248.0,74.0,5.0
2018,40000,0,0,1,0,21.5,1497.0,108.5,5.0
2019,18000,1,0,0,0,21.21,1197.0,81.8,5.0
2015,80000,0,0,0,1,19.67,1582.0,126.2,5.0
2011,89000,0,0,0,0,23.0,1396.0,90.0,5.0
2018,100000,1,0,0,0,23.84,1199.0,84.0,5.0
2018,70000,0,0,0,0,25.4,1186.0,73.97,5.0
2018,29000,0,0,0,0,24.0,1186.0,73.97,5.0
2008,120000,1,0,1,1,19.2,1197.0,80.0,5.0
2015,120000,0,0,0,0,25.8,1498.0,98.6,5.0
2014,77000,0,1,0,0,28.4,1248.0,74.0,5.0
2018,60000,1,0,0,0,23.01,999.0,67.0,5.0
2009,100000,0,0,0,1,17.0,1405.0,71.0,5.0
2014,70000,1,0,0,0,17.1,1591.0,121.3,5.0
2008,120000,1,0,0,1,19.7,796.0,46.3,5.0
2015,23000,0,0,0,0,23.9,1582.0,126.2,5.0
2017,26000,1,0,0,0,23.84,1199.0,84.0,5.0
2017,40000,0,0,0,3,22.77,1498.0,98.59,5.0
2019,30000,0,0,0,0,23.0,1498.0,98.96,5.0
2011,90000,1,0,0,1,19.0,998.0,66.1,5.0
2016,50000,1,0,0,0,22.74,796.0,47.3,5.0
2016,35000,1,0,0,0,22.7,799.0,53.64,5.0
2015,55380,1,1,0,0,18.9,1197.0,82.0,5.0
2015,72000,0,1,0,0,22.54,1396.0,88.73,5.0
2004,100000,1,0,0,1,19.7,796.0,46.3,5.0
2010,70000,1,0,0,1,18.0,995.0,62.0,5.0
2018,16589,1,2,0,0,20.51,998.0,67.04,5.0
2008,110000,0,0,0,1,17.5,1896.0,106.0,5.0
2017,51000,0,0,0,0,14.07,2956.0,69.01,7.0
2016,100000,0,0,0,1,24.52,1248.0,88.5,7.0
2009,47000,1,0,0,1,17.0,1497.0,118.0,5.0
2011,60000,1,0,0,1,20.36,1197.0,78.9,5.0
2013,76000,0,0,0,0,15.96,2523.0,62.1,7.0
2017,80000,1,0,0,0,22.7,799.0,53.0,5.0
2012,250000,0,0,0,0,12.99,2494.0,100.0,7.0
2013,157000,0,0,0,0,15.96,2523.0,62.1,7.0
2010,25000,1,0,1,0,16.8,1497.0,118.0,5.0
2015,60000,0,0,0,2,26.21,1248.0,88.5,5.0
2014,82000,0,0,0,1,20.45,1461.0,83.8,5.0
2015,35000,1,0,0,0,18.6,1197.0,81.83,5.0
2012,85000,0,0,0,0,21.43,1364.0,87.2,5.0
2016,42323,0,1,0,0,21.19,1396.0,88.76,5.0
2011,150000,0,0,1,1,11.79,2179.0,120.0,8.0
2010,120000,0,0,0,1,19.3,1248.0,73.9,5.0
2015,40000,1,0,0,0,22.74,796.0,47.3,5.0
2018,10000,1,0,0,0,19.83,1198.0,67.0,5.0
2017,10000,1,0,0,0,18.9,1197.0,81.86,5.0
2012,120000,1,0,0,0,18.6,1199.0,79.4,5.0
2017,46000,1,0,0,0,21.4,1197.0,83.1,5.0
2009,90000,0,0,0,1,14.0,2498.0,112.0,8.0
2012,120000,0,0,0,0,12.05,2179.0,120.0,8.0
2012,56000,1,0,0,0,20.36,1197.0,78.9,5.0
2013,41800,1,0,0,0,18.6,1197.0,85.8,5.0
2014,70000,0,0,0,0,26.0,1498.0,98.6,5.0
2010,60000,1,0,0,0,15.26,1150.0,74.9,5.0
2009,120000,0,0,0,2,19.09,1396.0,69.0,5.0
2007,121000,0,0,0,1,18.1,1493.0,110.0,5.0
2016,78000,0,1,0,0,24.0,1186.0,73.97,5.0
2003,35000,1,0,0,3,16.1,796.0,37.0,4.0
2018,10000,1,0,0,0,23.95,998.0,67.05,5.0
2011,250000,0,0,0,1,12.8,2494.0,102.0,7.0
2008,120000,0,0,0,0,17.0,1405.0,70.0,5.0
2010,80000,1,0,0,1,14.0,1595.0,102.0,5.0
2011,90000,0,0,1,1,18.1,1991.0,147.9,4.0
2011,70000,1,0,0,1,15.2,1193.0,65.0,5.0
2017,120000,0,0,0,1,23.59,1364.0,67.04,5.0
2015,60000,0,0,0,0,20.45,1461.0,83.8,5.0
2009,80000,1,0,0,0,17.5,1298.0,85.8,5.0
2011,46000,1,0,0,0,20.92,998.0,67.1,5.0
2012,100000,0,0,0,1,22.32,1582.0,126.32,5.0
2017,50000,0,0,0,0,24.52,1248.0,88.5,7.0
2008,80000,0,0,0,3,12.8,2494.0,102.0,7.0
2010,180000,0,0,0,0,19.3,1248.0,73.9,5.0
2019,7200,1,0,0,0,21.1,998.0,100.5,5.0
2015,80000,1,0,0,1,18.5,1197.0,85.8,5.0
2006,120000,0,0,0,2,16.1,1405.0,70.0,5.0
2015,30000,1,0,0,0,20.85,1197.0,83.14,5.0
2014,27800,0,1,1,1,14.8,2143.0,120.7,5.0
2009,48000,0,0,0,1,17.0,1405.0,71.0,5.0
